age,gender,demographic_info,previous_search_history
22,female,"Urban, Austin TX, college student, part-time barista, renter, low-income","budget smartphones; student discounts; thrift stores; free events near me; used textbooks"
25,male,"Urban, Seattle WA, early-career, software engineer, renter, high-income","noise-canceling headphones; productivity apps; standing desk; cloud certification courses; indie coffee shops"
27,female,"Urban, Chicago IL, cohabiting, marketing associate, renter, mid-income","meal prep services; compact furniture; boutique fitness classes; weekend city trips; pet-friendly apartments"
29,non-binary,"Urban, New York NY, freelancer, renter, mid-income","coworking spaces; invoicing apps; transit passes; noise-canceling earbuds; health insurance marketplace"
32,male,"Urban, Boston MA, single, professional, high-income","premium skincare; international flights; luxury watches; fine dining; boutique hotels"
35,female,"Suburban, Plano TX, married, parent of two, homeowner, mid-income","back-to-school deals; kids soccer gear; family health insurance; minivan safety ratings; school district rankings"
38,male,"Suburban, Columbus OH, married, homeowner, mid-income","home improvement loans; lawn care services; SUV reviews; smart thermostats; DIY basement remodel"
41,female,"Suburban, Phoenix AZ, single parent, homeowner, mid-income","after-school programs; affordable childcare; family budgeting apps; hybrid SUV tax credits; bulk grocery deals"
44,male,"Suburban, Raleigh NC, married, parent of three, mid-income","family vacation packages; backyard playsets; tutoring services; minivan accessories; kids dental plans"
50,female,"Suburban, Denver CO, married, empty nester, mid-income","garden tools; local golf courses; grill accessories; regional cruises; hiking groups"
63,male,"Rural, Des Moines IA, retired, fixed-income","medicare supplement plans; arthritis relief; home blood pressure monitor; senior community events; used RV prices"
57,female,"Small town, Erie PA, hospital nurse, homeowner, mid-income","comfortable scrubs; compression socks; night shift meal prep; retirement savings calculator; ergonomic shoes"
46,male,"Small town, Fort Wayne IN, manufacturing supervisor, homeowner, mid-income","tool rebates; truck lease deals; union benefits; home warranty plans; hunting gear"
28,female,"College town, Ann Arbor MI, grad student, renter, low-income","research grants; cheap flights; used bikes; campus mental health services; noise-canceling headphones"
33,male,"Urban, Los Angeles CA, gig worker, renter, low-income","rideshare incentives; gas rewards card; cheap car insurance; phone mounts; tire repair"
36,female,"Urban, Miami FL, hospitality manager, renter, mid-income","last-minute hotel deals; uniform shoes; travel rewards cards; bilingual resume templates; beach fitness classes"
30,male,"Mountain town, Bozeman MT, remote worker, renter, mid-income","ski passes; remote work setups; satellite internet; trail running shoes; cabin rentals"
39,non-binary,"Urban, Portland OR, small business owner, renter, mid-income","small business loans; POS systems; local vendor markets; accounting software; organic wholesale"
52,male,"Suburban, San Diego CA, military spouse, homeowner, mid-income","PCS moving tips; VA home loan rates; military discounts; family relocation checklist; school transfer forms"
48,female,"Urban, Atlanta GA, teacher, homeowner, mid-income","classroom supplies; continuing education credits; summer lesson plans; affordable 529 plans; commuter rail pass"
27,male,"Urban, San Jose CA, startup founder, renter, high-income","angel investor pitch deck; cofounder agreements; SaaS pricing models; premium coworking; business travel rewards"
60,female,"Coastal, Sarasota FL, retired, high-income","luxury cruises; golf club memberships; art gallery openings; concierge medicine; estate planning attorney"
24,female,"Urban, Brooklyn NY, service industry, renter, low-income","cheap meal prep; split rent apps; side hustle ideas; discount gym memberships; weekend flea markets"
42,male,"Suburban, Minneapolis MN, healthcare administrator, homeowner, high-income","executive leadership courses; private school tuition; home energy rebates; luxury SUV lease; smart home security"
