age,gender,demographic_info,previous_search_history
58,female,"Urban, Charlotte NC, single parent, mid-career, nurse, renter, high-income",remote jobs; boutique fitness classes; farmers market; honeymoon packages; used textbooks
19,female,"Suburban, Los Angeles CA, multi-generational household, new parent, software engineer, renter, high-income",remote jobs; wedding venues; bulk grocery deals; outdoor patio sets; farmers market
35,female,"Suburban, Sacramento CA, parent of two, late-career, nurse, renter, mid-income",pet-friendly apartments; boutique fitness classes; meal kit delivery; weekend city trips; running shoes
40,non-binary,"Rural, Chicago IL, empty nester, career switcher, teacher, homeowner, low-income",resume templates; electric vehicle incentives; yoga classes; local coffee shops; smart thermostats
63,female,"Urban, Los Angeles CA, parent of one, graduate student, accountant, renter, mid-income",first-time homebuyer programs; garden tools; yoga classes; minivan safety ratings; personal training
40,female,"Rural, Boston MA, cohabiting, career switcher, accountant, renter, mid-income",meal kit delivery; refinance calculator; interview prep; bulk grocery deals; streaming services
67,female,"Suburban, Chicago IL, parent of two, entrepreneur, barista, renter, low-income",online MBA; bike commuter gear; family budgeting apps; used car listings; high-yield savings
59,male,"Suburban, Atlanta GA, cohabiting, mid-career, writer, homeowner, high-income",brunch spots; honeymoon packages; budget planner; yoga classes; bulk grocery deals
26,non-binary,"Small-town, Plano TX, single, graduate student, nurse, renter, high-income",honeymoon packages; dog grooming; cloud certification courses; credit card rewards; meal kit delivery
56,male,"Rural, Boulder CO, single, graduate student, consultant, homeowner, high-income",gaming laptop deals; premium skincare; electric vehicle incentives; baby registry; minivan safety ratings
47,female,"Rural, Albuquerque NM, cohabiting, career switcher, teacher, homeowner, high-income",auto loan rates; after-school programs; school district rankings; personal training; minivan safety ratings
52,non-binary,"Urban, Jersey City NJ, parent of two, retired, software engineer, renter, mid-income",public transit passes; tutoring services; standing desk; online MBA; compact furniture
23,non-binary,"Small-town, Boston MA, multi-generational household, early-career, nurse, homeowner, high-income",home improvement loans; mortgage rates; protein powder; honeymoon packages; family budgeting apps
52,non-binary,"Suburban, Kansas City MO, parent of three, freelancer, real estate agent, homeowner, low-income",kids dental plans; bulk grocery deals; cloud certification courses; gaming laptop deals; thrift stores
55,non-binary,"Suburban, Oakland CA, single parent, college student, product manager, renter, low-income",cloud certification courses; used textbooks; wireless earbuds; meal prep services; healthy meal plans
33,male,"Small-town, San Diego CA, multi-generational household, early-career, warehouse supervisor, homeowner, low-income",kitchen renovation ideas; tax prep software; smart thermostats; weekend city trips; baby registry
40,male,"Small-town, Richmond VA, single, graduate student, marketing associate, homeowner, high-income",gaming laptop deals; pet-friendly apartments; kids dental plans; smart thermostats; vitamin subscriptions
46,female,"Small-town, Miami FL, parent of one, retired, accountant, renter, mid-income",resume templates; weekend city trips; productivity apps; remote jobs; student discounts
23,female,"Suburban, Orlando FL, empty nester, retired, sales manager, homeowner, low-income",home improvement loans; meal kit delivery; budget smartphones; credit card rewards; mortgage rates
68,male,"Rural, Sacramento CA, multi-generational household, retired, nurse, renter, mid-income",family budgeting apps; standing desk; brunch spots; remote jobs; bike commuter gear
21,female,"Small-town, Albuquerque NM, multi-generational household, early-career, marketing associate, renter, low-income",cloud certification courses; dog grooming; tutoring services; budget planner; international flights
54,female,"Urban, Newark NJ, married, entrepreneur, consultant, homeowner, mid-income",affordable childcare; bike commuter gear; tutoring services; mortgage rates; high-yield savings
26,non-binary,"Rural, Richmond VA, parent of two, graduate student, software engineer, homeowner, high-income",online MBA; weekend city trips; meal prep services; vitamin subscriptions; family budgeting apps
50,male,"Suburban, Salt Lake City UT, married, mid-career, data analyst, homeowner, low-income",nursery furniture; remote jobs; hybrid SUV tax credits; protein powder; student discounts
60,non-binary,"Rural, Columbus OH, cohabiting, late-career, teacher, renter, high-income",resume templates; school district rankings; refinance calculator; home warranty; affordable childcare
63,male,"Suburban, Atlanta GA, multi-generational household, retired, barista, renter, low-income",honeymoon packages; first-time homebuyer programs; noise-canceling headphones; budget smartphones; wireless earbuds
67,female,"Rural, Nashville TN, empty nester, career switcher, mechanic, renter, low-income",meal prep services; school district rankings; remote jobs; used textbooks; personal training
55,non-binary,"Suburban, Sacramento CA, cohabiting, college student, retail associate, homeowner, low-income",running shoes; affordable childcare; kids dental plans; pet-friendly apartments; interview prep
44,non-binary,"Suburban, San Francisco CA, cohabiting, early-career, mechanic, renter, low-income",wireless earbuds; tax prep software; kids dental plans; refinance calculator; minivan safety ratings
68,non-binary,"Urban, Ann Arbor MI, single, retired, accountant, renter, mid-income",console bundles; public transit passes; family vacation packages; bulk grocery deals; free events near me
60,female,"Small-town, Cleveland OH, parent of one, graduate student, barista, homeowner, high-income",healthy meal plans; budget planner; vitamin subscriptions; wireless earbuds; free events near me
25,male,"Suburban, Oakland CA, parent of one, college student, teacher, homeowner, mid-income",bike commuter gear; baby registry; healthy meal plans; premium skincare; credit card rewards
54,female,"Rural, Chicago IL, parent of three, college student, photographer, renter, mid-income",baby registry; cloud certification courses; wireless earbuds; bike commuter gear; international flights
64,male,"Rural, Orlando FL, parent of two, entrepreneur, retail associate, renter, low-income",wedding venues; meal kit delivery; lawn care services; online MBA; hybrid SUV tax credits
43,non-binary,"Urban, Kansas City MO, parent of one, mid-career, mechanic, homeowner, mid-income",nursery furniture; family budgeting apps; healthy meal plans; kitchen renovation ideas; home improvement loans
60,female,"Rural, Albuquerque NM, parent of two, graduate student, accountant, homeowner, low-income",after-school programs; kids soccer gear; free events near me; noise-canceling headphones; kids dental plans
48,non-binary,"Urban, Richmond VA, parent of three, new parent, sales manager, homeowner, mid-income",budget planner; kids dental plans; kids soccer gear; budget smartphones; pet-friendly apartments
67,male,"Suburban, Miami FL, multi-generational household, retired, marketing associate, renter, low-income",garden tools; family health insurance; DIY basement remodel; protein powder; interview prep
56,male,"Small-town, Newark NJ, multi-generational household, entrepreneur, writer, homeowner, low-income",kitchen renovation ideas; outdoor patio sets; mortgage rates; kids dental plans; first-time homebuyer programs
67,non-binary,"Small-town, San Francisco CA, parent of one, retired, product manager, homeowner, low-income",refinance calculator; wireless earbuds; bike commuter gear; remote jobs; compact furniture
26,female,"Suburban, Ann Arbor MI, cohabiting, mid-career, product manager, homeowner, mid-income",wireless earbuds; remote jobs; DIY basement remodel; wedding venues; standing desk
31,male,"Small-town, Oakland CA, single, new parent, UX researcher, homeowner, low-income",running shoes; hybrid SUV tax credits; credit card rewards; wedding venues; vitamin subscriptions
65,non-binary,"Suburban, Omaha NE, single parent, late-career, mechanic, homeowner, low-income",credit card rewards; gaming laptop deals; budget planner; home improvement loans; DIY basement remodel
26,non-binary,"Urban, Tampa FL, single, graduate student, operations coordinator, homeowner, low-income",DIY basement remodel; SUV reviews; productivity apps; mortgage rates; meal kit delivery
38,female,"Small-town, Pittsburgh PA, parent of two, entrepreneur, barista, homeowner, mid-income",compact furniture; kitchen renovation ideas; thrift stores; remote jobs; productivity apps
40,female,"Urban, Chicago IL, single, mid-career, sales manager, renter, high-income",school district rankings; tutoring services; fine dining; kitchen renovation ideas; premium skincare
54,female,"Small-town, Atlanta GA, parent of two, early-career, customer support lead, renter, low-income",public transit passes; pet-friendly apartments; brunch spots; free events near me; local coffee shops
61,male,"Small-town, Portland OR, married, new parent, operations coordinator, renter, low-income",hybrid SUV tax credits; dog grooming; international flights; online MBA; noise-canceling headphones
40,non-binary,"Small-town, Madison WI, married, career switcher, operations coordinator, homeowner, low-income",wedding venues; roadside assistance; pet-friendly apartments; baby registry; yoga classes
58,male,"Suburban, Sacramento CA, cohabiting, career switcher, operations coordinator, homeowner, high-income",vitamin subscriptions; car insurance quotes; DIY basement remodel; baby registry; farmers market
35,male,"Suburban, Plano TX, parent of one, retired, accountant, homeowner, high-income",meal kit delivery; gaming laptop deals; free events near me; used car listings; streaming services
29,male,"Suburban, Salt Lake City UT, parent of one, freelancer, barista, homeowner, high-income",student discounts; gluten-free recipes; smart thermostats; compact furniture; tutoring services
64,male,"Small-town, Boulder CO, single parent, retired, operations coordinator, homeowner, mid-income",thrift stores; boutique fitness classes; electric vehicle incentives; bulk grocery deals; budget planner
62,female,"Rural, Oakland CA, parent of two, retired, writer, homeowner, mid-income",resume templates; wireless earbuds; running shoes; garden tools; refinance calculator
37,male,"Suburban, Phoenix AZ, single parent, freelancer, teacher, renter, low-income",family budgeting apps; car insurance quotes; first-time homebuyer programs; farmers market; protein powder
56,male,"Urban, Portland OR, parent of one, mid-career, data analyst, renter, mid-income",student discounts; vitamin subscriptions; fine dining; first-time homebuyer programs; noise-canceling headphones
21,non-binary,"Rural, Raleigh NC, empty nester, graduate student, software engineer, homeowner, mid-income",car insurance quotes; nursery furniture; gaming laptop deals; SUV reviews; productivity apps
34,male,"Urban, Boston MA, parent of three, retired, product manager, renter, low-income",school district rankings; online MBA; hybrid SUV tax credits; compact furniture; kids dental plans
25,non-binary,"Small-town, Jersey City NJ, single parent, career switcher, UX researcher, homeowner, mid-income",hybrid SUV tax credits; farmers market; honeymoon packages; public transit passes; online MBA
57,female,"Urban, San Diego CA, single parent, late-career, consultant, renter, low-income",tutoring services; lawn care services; resume templates; meal prep services; minivan safety ratings
18,male,"Small-town, Jersey City NJ, empty nester, late-career, marketing associate, renter, mid-income",home warranty; garden tools; meal prep services; family vacation packages; mortgage rates
68,non-binary,"Suburban, Sacramento CA, married, career switcher, accountant, renter, mid-income",kids soccer gear; meal prep services; standing desk; home improvement loans; public transit passes
56,non-binary,"Rural, Las Vegas NV, married, retired, retail associate, homeowner, mid-income",auto loan rates; remote jobs; used car listings; nursery furniture; compact furniture
56,female,"Small-town, Pittsburgh PA, parent of one, college student, product manager, renter, high-income",local coffee shops; farmers market; thrift stores; refinance calculator; noise-canceling headphones
66,female,"Small-town, Boise ID, empty nester, late-career, designer, homeowner, high-income",roadside assistance; boutique fitness classes; kitchen renovation ideas; console bundles; tax prep software
